factor,AME,SE,z,p,lower,upper
Asian population %,-0.0034,0.0011,-3.0581,0.0022,-0.0055,-0.0012
Black population %,0.0027,0.0004,7.3198,0,0.002,0.0035
Foreign Born population %,-0.0021,0.0004,-5.1965,0,-0.0029,-0.0013
HOLC Grade B,0.0148,0.0282,0.5272,0.5981,-0.0404,0.07
HOLC Grade C,0.0418,0.0277,1.5069,0.1318,-0.0126,0.0962
HOLC Grade D,0.1145,0.0318,3.6061,0.0003,0.0523,0.1768
Hispanic or Latino population %,-0.0012,0.0005,-2.34,0.0193,-0.0021,-0.0002
Indigenous population %,0.0292,0.0102,2.8559,0.0043,0.0092,0.0493
% of Houses Built in 1980 or later,-0.0036,0.0009,-4.0803,0,-0.0053,-0.0019
% Below the Poverty Line,0.0094,0.0009,10.3574,0,0.0077,0.0112
